.,5,AUTRE
ARTICLE 295,1,AUTRE
DIVERS BOULANGERIE,316,AUTRE
SACHET DE CROUTON,111,AUTRE
BOISSON 33CL,1481,BOISSON
CAFE OU EAU,1436,BOISSON
DELICETROPICAL,41,GATEAU
DIVERS BOISSONS,85,BOISSON
THE,6,BOISSON
CARAMEL NOIX,69,CONFISERIE
CHOCOLAT,73,CONFISERIE
DIVERS CONFISERIE,482,CONFISERIE
GRANDE SUCETTE,193,CONFISERIE
SUCETTE,525,CONFISERIE
12 MACARON,65,GATEAU
ARMORICAIN,2,GATEAU
BROWNIES,38,GATEAU
BUCHE 4PERS,10,GATEAU
BUCHE 6PERS,8,GATEAU
BUCHE 8PERS,1,GATEAU
CAKE,1,GATEAU
CHOU CHANTILLY,206,GATEAU
CRUMBLE,7,GATEAU
CRUMBLECARAMEL OU PISTAE,1,GATEAU
DIVERS PATISSERIE,500,GATEAU
DOUCEUR D HIVER,1,GATEAU
ECLAIR,2006,GATEAU
ECLAIR FRAISE PISTACHE,16,GATEAU
ENTREMETS,24,GATEAU
FLAN,833,GATEAU
FLAN ABRICOT,568,GATEAU
FONDANT CHOCOLAT,218,GATEAU
FRAISIER,357,GATEAU
FRAMBOISIER,64,GATEAU
GAL FRANGIPANE 4P,203,GATEAU
GAL FRANGIPANE 6P,122,GATEAU
GAL POIRE CHOCO 4P,24,GATEAU
GAL POIRE CHOCO 6P,15,GATEAU
GAL POMME 4P,97,GATEAU
GAL POMME 6P,61,GATEAU
GALETTE 8 PERS,2,GATEAU
GD FAR BRETON,161,GATEAU
GD KOUIGN AMANN,832,GATEAU
GD NANTAIS,88,GATEAU
GRAND FAR BRETON,1378,GATEAU
KOUIGN AMANN,1332,GATEAU
MACARON,132,GATEAU
MERINGUE,51,GATEAU
MILLES FEUILLES,764,GATEAU
NANTAIS,390,GATEAU
NID DE POULE,12,GATEAU
NOIX JAPONAISE,334,GATEAU
PALET BRETON,156,GATEAU
PARIS BREST,917,GATEAU
PT NANTAIS,478,GATEAU
REDUCTION SUCREES 12,8,GATEAU
REDUCTION SUCREES 24,1,GATEAU
RELIGIEUSE,80,GATEAU
ROYAL,174,GATEAU
ROYAL 4P,61,GATEAU
ROYAL 6P,62,GATEAU
SABLE F  P,82,GATEAU
SAVARIN,337,GATEAU
ST HONORE,84,GATEAU
TARTE FINE,61,GATEAU
TARTE FRAISE 4PER,149,GATEAU
TARTE FRAISE 6P,125,GATEAU
TARTE FRUITS 4P,358,GATEAU
TARTE FRUITS 6P,272,GATEAU
TARTELETTE,2861,GATEAU
TARTELETTE CHOC,52,GATEAU
TARTELETTE COCKTAIL,1,GATEAU
TARTELETTE FRAISE,493,GATEAU
TROIS CHOCOLAT,1,GATEAU
TROPEZIENNE,357,GATEAU
TROPEZIENNE FRAMBOISE,26,GATEAU
TULIPE,3,GATEAU
BAGUETTE,15292,PAIN
BAGUETTE GRAINE,1505,PAIN
BANETTE,15130,PAIN
BANETTINE,2817,PAIN
BOULE 200G,2691,PAIN
BOULE 400G,4099,PAIN
BOULE POLKA,502,PAIN
CAMPAGNE,3905,PAIN
CEREAL BAGUETTE,4961,PAIN
COMPLET,3140,PAIN
COUPE,20470,PAIN
DEMI BAGUETTE,1144,PAIN
DEMI PAIN,163,PAIN
FICELLE,2655,PAIN
GUERANDAIS,3,PAIN
MOISSON,3107,PAIN
PAIN,1918,PAIN
PAIN BANETTE,2727,PAIN
PAIN DE MIE,31,PAIN
PAIN GRAINES,3,PAIN
PAIN NOIR,1,PAIN
PAIN S/SEL,131,PAIN
QUIM BREAD,1304,PAIN
SEIGLE,1334,PAIN
SPECIAL BREAD,5195,PAIN
SPECIAL BREAD KG,460,PAIN
TRADITIONAL BAGUETTE,67689,PAIN
VIK BREAD,3147,PAIN
BAGUETTE APERO,73,SALE
DIVERS SANDWICHS,239,SALE
FORMULE PATE,2,SALE
FORMULE PLAT PREPARE,10,SALE
FORMULE SANDWICH,4202,SALE
GD PLATEAU SALE,2,SALE
PATES,2,SALE
PLAQUE TARTE 25P,1,SALE
PLAT,8,SALE
PLAT 6.50E,2,SALE
PLAT 7.00,94,SALE
PLAT 7.60E,244,SALE
PLAT 8.30E,116,SALE
"PLATPREPARE5,50",3,SALE
"PLATPREPARE6,00",1,SALE
"PLATPREPARE6,50",6,SALE
"PLATPREPARE7,00",11,SALE
PT PLATEAU SALE,3,SALE
SAND JB,5,SALE
SAND JB EMMENTAL,1505,SALE
SANDWICH COMPLET,2210,SALE
TRAITEUR,1309,SALE
BOTTEREAU,85,VIENNOISERIE
BRIOCHE,1657,VIENNOISERIE
BRIOCHE DE NOEL,19,VIENNOISERIE
BRIOCHETTE,46,VIENNOISERIE
CHAUSSON AUX POMMES,1442,VIENNOISERIE
COOKIE,2002,VIENNOISERIE
CROISSANT,11508,VIENNOISERIE
CROISSANT AMANDES,1804,VIENNOISERIE
DIVERS VIENNOISERIE,827,VIENNOISERIE
FINANCIER,17,VIENNOISERIE
FINANCIER X5,1021,VIENNOISERIE
GACHE,128,VIENNOISERIE
PAILLE,106,VIENNOISERIE
PAIN AU CHOCOLAT,10578,VIENNOISERIE
PAIN AUX RAISINS,1991,VIENNOISERIE
PAIN CHOCO AMANDES,1484,VIENNOISERIE
PAIN SUISSE PEPITO,18,VIENNOISERIE
PALMIER,5,VIENNOISERIE
SACHET DE VIENNOISERIE,1,VIENNOISERIE
SACHET VIENNOISERIE,497,VIENNOISERIE
TRIANGLES,67,VIENNOISERIE
VIENNOISE,183,VIENNOISERIE
